id,name,base_experience,height,weight,types,abilities,moves,hp,attack,defense,special-attack,special-defense,speed,total_stats,primary_type,secondary_type,height_m,weight_kg,bmi,atk_def_ratio,sp_atk_sp_def_ratio
1,bulbasaur,64,7,69,"grass, poison","overgrow, chlorophyll","razor-wind, swords-dance, cut, bind, vine-whip",45.0,49.0,49.0,65.0,65.0,45.0,318.0,grass,poison,0.7,6.9,14.081632653061227,1.0,1.0
2,ivysaur,142,10,130,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt",60.0,62.0,63.0,80.0,80.0,60.0,405.0,grass,poison,1.0,13.0,13.0,0.9841269841269841,1.0
3,venusaur,236,20,1000,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt",80.0,82.0,83.0,100.0,100.0,80.0,525.0,grass,poison,2.0,100.0,25.0,0.9879518072289156,1.0
4,charmander,62,6,85,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance",39.0,52.0,43.0,60.0,50.0,65.0,309.0,fire,,0.6,8.5,23.61111111111111,1.2093023255813953,1.2
5,charmeleon,142,11,190,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance",58.0,64.0,58.0,80.0,65.0,80.0,405.0,fire,,1.1,19.0,15.702479338842974,1.103448275862069,1.2307692307692308
6,charizard,240,17,905,"fire, flying","blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance",78.0,84.0,78.0,109.0,85.0,100.0,534.0,fire,flying,1.7,90.5,31.314878892733567,1.0769230769230769,1.2823529411764707
7,squirtle,63,5,90,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle",44.0,48.0,65.0,50.0,64.0,43.0,314.0,water,,0.5,9.0,36.0,0.7384615384615385,0.78125
8,wartortle,142,10,225,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle",59.0,63.0,80.0,65.0,80.0,58.0,405.0,water,,1.0,22.5,22.5,0.7875,0.8125
9,blastoise,239,16,855,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle",79.0,83.0,100.0,85.0,105.0,78.0,530.0,water,,1.6,85.5,33.39843749999999,0.83,0.8095238095238095
10,caterpie,39,3,29,bug,"shield-dust, run-away","tackle, string-shot, snore, bug-bite, electroweb",45.0,30.0,35.0,20.0,20.0,45.0,195.0,bug,,0.3,2.9,32.22222222222222,0.8571428571428571,1.0
11,metapod,72,7,99,bug,shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb",50.0,20.0,55.0,25.0,25.0,30.0,205.0,bug,,0.7,9.9,20.204081632653065,0.36363636363636365,1.0
12,butterfree,178,11,320,"bug, flying","compound-eyes, tinted-lens","razor-wind, gust, whirlwind, headbutt, tackle",60.0,45.0,50.0,90.0,80.0,70.0,395.0,bug,flying,1.1,32.0,26.446280991735534,0.9,1.125
13,weedle,39,3,32,"bug, poison","shield-dust, run-away","poison-sting, string-shot, bug-bite, electroweb",40.0,35.0,30.0,20.0,20.0,50.0,195.0,bug,poison,0.3,3.2,35.55555555555556,1.1666666666666667,1.0
14,kakuna,72,6,100,"bug, poison",shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb",45.0,25.0,50.0,25.0,25.0,35.0,205.0,bug,poison,0.6,10.0,27.77777777777778,0.5,1.0
15,beedrill,178,10,295,"bug, poison","swarm, sniper","swords-dance, cut, headbutt, fury-attack, take-down",65.0,90.0,40.0,45.0,80.0,75.0,395.0,bug,poison,1.0,29.5,29.5,2.25,0.5625
16,pidgey,50,3,18,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly",40.0,45.0,40.0,35.0,35.0,56.0,251.0,normal,flying,0.3,1.8,20.0,1.125,1.0
17,pidgeotto,122,11,300,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly",63.0,60.0,55.0,50.0,50.0,71.0,349.0,normal,flying,1.1,30.0,24.793388429752063,1.0909090909090908,1.0
18,pidgeot,216,15,395,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly",83.0,80.0,75.0,70.0,70.0,101.0,479.0,normal,flying,1.5,39.5,17.555555555555557,1.0666666666666667,1.0
19,rattata,51,3,35,normal,"run-away, guts, hustle","cut, headbutt, tackle, body-slam, take-down",30.0,56.0,35.0,25.0,35.0,72.0,253.0,normal,,0.3,3.5,38.88888888888889,1.6,0.7142857142857143
20,raticate,145,7,185,normal,"run-away, guts, hustle","swords-dance, cut, headbutt, tackle, body-slam",55.0,81.0,60.0,50.0,70.0,97.0,413.0,normal,,0.7,18.5,37.75510204081633,1.35,0.7142857142857143
21,spearow,52,3,20,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt",40.0,60.0,30.0,31.0,31.0,70.0,262.0,normal,flying,0.3,2.0,22.22222222222222,2.0,1.0
